label,family,lag,observed,null_mean,null_q025,null_q975,z_score
liturgy_sample,liturgical_repetition,5,0.00542771494682702,-4.1076378219246596e-05,-0.007531819567851622,0.007808037612788435,1.415946202533361
liturgy_sample,liturgical_repetition,6,-0.003548382471481454,0.00014341647031750423,-0.007781186704285674,0.007562728639629687,-0.9269108303936078
liturgy_sample,liturgical_repetition,7,0.003612606060240081,-0.0007179046568808378,-0.008559926355742958,0.006788049299192175,1.0965736188676525
liturgy_sample,liturgical_repetition,8,-0.004045272010192058,-0.0004421751335377301,-0.00880969763221428,0.007865792044863526,-0.8874520233449714
liturgy_sample,liturgical_repetition,9,-0.004293914114550823,-0.0002861036829913697,-0.007471038816695384,0.008149824302182057,-0.9838251636430301
liturgy_sample,liturgical_repetition,10,0.001813244288450394,-0.00023323346578688002,-0.0069261624912106134,0.007374684966416523,0.5371234244573826
liturgy_sample,liturgical_repetition,11,-0.006380997489526932,-0.0005942425226395007,-0.008765103449791804,0.007128936285307516,-1.496941026082732
liturgy_sample,liturgical_repetition,12,0.003703407133249334,3.3560816344203496e-05,-0.0068954269949965535,0.007412999078135418,0.9885465147868288
liturgy_sample,liturgical_repetition,13,0.0018663086574953885,-0.00013408890412664463,-0.007675170271738627,0.007432171366215268,0.5114897299012366
liturgy_sample,liturgical_repetition,14,-0.0023577660104514148,-0.00021500355021810406,-0.007925104292529878,0.007716465166642969,-0.5228099613680603
liturgy_sample,liturgical_repetition,15,-0.003667082828845293,-0.0005843461542231621,-0.008440352518582751,0.00800090974606854,-0.7672501932547757
liturgy_sample,liturgical_repetition,16,-0.007364362149530096,-0.0004552109558961281,-0.007364362149530096,0.006959245277525616,-1.7832865436008491
liturgy_sample,liturgical_repetition,17,-0.0017773205783712664,-7.262437248109812e-05,-0.007614412645232493,0.008304929355298155,-0.42067429319728944
liturgy_sample,liturgical_repetition,18,-0.00441448970701544,-0.00019739841189865139,-0.00759920308281159,0.00752818545222024,-1.0856640693325441
liturgy_sample,liturgical_repetition,19,0.0006453747883761463,-4.947522489699369e-05,-0.008380375145258023,0.007547418855272894,0.1735309350002565
liturgy_sample,liturgical_repetition,20,-0.006772158557711072,-0.00012983248229947724,-0.008099827171625024,0.007566662472559785,-1.6410400903565543
liturgy_sample,liturgical_repetition,21,0.0006802058208518619,-0.0002673373398386952,-0.007553525918855962,0.007320312062551737,0.24335087703936092
liturgy_sample,liturgical_repetition,22,-0.004350186248843146,-0.00012462833173367251,-0.008335308459257576,0.006808155940317348,-1.109623706467149
liturgy_sample,liturgical_repetition,23,-0.0008793986172730417,-0.0005066906714850921,-0.00832027026223714,0.007092963859474263,-0.09083876263924394
liturgy_sample,liturgical_repetition,24,-6.492635644639311e-05,-0.0002609656972225572,-0.007507775904559082,0.00737792319166633,0.0501830119740391
liturgy_sample,liturgical_repetition,25,0.0015476392158723234,-0.0003288563969965745,-0.007758396412949765,0.008194807522173872,0.4727734158298731
liturgy_sample,liturgical_repetition,26,-0.006679362996078998,-0.0002332193790577063,-0.008009150230121526,0.007948296578389108,-1.558865555565819
liturgy_sample,liturgical_repetition,27,0.001849034099119476,-0.00018142612966475993,-0.007461952865498764,0.006637541680923162,0.5174947680387714
liturgy_sample,liturgical_repetition,28,0.0008024063923462582,-0.00027130302755792683,-0.007978860238840542,0.006922683135294649,0.2682592050935144
liturgy_sample,liturgical_repetition,29,-0.002906476639264202,-0.0002547598439487746,-0.007963703149777894,0.008006485830791707,-0.6589052836720395
liturgy_sample,liturgical_repetition,30,0.001103645183741092,-0.00029411839453365337,-0.008214778671423964,0.006960940178416322,0.36017357950362455
liturgy_sample,liturgical_repetition,31,-0.0018081983078618719,-0.00016106115739580802,-0.007933364752602215,0.0072463955669716945,-0.4107276230016497
liturgy_sample,liturgical_repetition,32,0.0054009428337309096,-0.00017710724618383533,-0.007651800906279725,0.007798385561487972,1.452973681667381
liturgy_sample,liturgical_repetition,33,0.002222239126478273,-0.00034237584820862645,-0.007902994020337603,0.008350669715340514,0.6472466589285351
